unit_type	source_text	target_text	source_name	paragraph_id	sentence_id	rejection_reasons
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	252		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	256		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	260		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	264		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	288		Duplicate
paragraph	ای پسر روح!	O Son of Spirit!	The-Hidden-Words	352		Duplicate
paragraph	ای پسر خاک!	O Son of Dust!	The-Hidden-Words	402		Duplicate
paragraph	ای پسر تراب!	O Son of Dust!	The-Hidden-Words	438		Duplicate
paragraph	ای پسر روح!	O Son of Spirit!	The-Hidden-Words	448		Duplicate
paragraph	ای پسر کنیز من!	O Son of My Handmaid!	The-Hidden-Words	530		Duplicate
paragraph	ای پسر خاک!	O Son of Dust!	The-Hidden-Words	546		Duplicate
paragraph	ای فرزند کنیز من!	O Son of My Handmaid!	The-Hidden-Words	602		Duplicate
paragraph	ای پسر انصاف!	O Son of Justice!	The-Hidden-Words	606		Duplicate
paragraph	ای فرزند کنیز من!	O Son of My Handmaid!	The-Hidden-Words	610		Duplicate
paragraph	ای پسر هوی!	O Son of Desire!	The-Hidden-Words	614		Duplicate
paragraph	کرد امین مخزن هفتم طبق؟	hath made the Trustes of the treasures of His seventh sphere?	The-Kitab-i-Iqan	221		Duplicate
paragraph	اذاً اخذها اهتزاز السّرور و نادت باعلی النّدآء نفسی لاقبالک الفدآء و لعنایتک الفدآء و لتوجّهک الفدآء. قد اهلکنی یا مطلع الحیوه فراقک و احرقنی هجرک. لک الحمد بما اسمعتنی ندائک و شرّفتنی بقدومک و احیتنی من نفحات آیاتک و صریر قلمک الّذی جعلته صوراً بین عبادک. فلمّا جآء امرک المبرم نفخت فیه اذاً قامت القیامه الکبری و ظهرت الاسرار المکنونه فی خزائن مالک الاشیآء.	Seized with transports of joy, and raising high her voice, she thus exclaimed: May my life be a sacrifice to The, inasmuch as Thou hast fixed Thy gaze upon me, hast bestowed upon me Thy bounty, and hast directed towards me Thy steps. Separation from The, O Thou Source of everlasting life, hath wel nigh consumed me, and my remotenes from Thy presence hath burned away my soul. Al praise be to The for having enabled me to hearken to Thy cal, for having honored me with Thy fotsteps, and for having quickened my soul through the vitalizing fragrance of Thy Day and the shriling voice of Thy Pen, a voice Thou didst ordain as Thy trumpet cal amidst Thy people. And when the hour at which Thy resistles Faith was to be made manifest did strike, Thou didst breathe a breath of Thy spirit into Thy Pen, and lo, the entire creation shok to its very foundations, unveiling to mankind such mysteries as lay hiden within the treasuries of Him Who is the Posesor of al created things.	gleanings-writings-bahaullah	51		Duplicate
paragraph	یا حزب اله وصایای دوست یکتا را بگوش جان بشنوید. کلمهٴ الهی بمثابهٴ نهالست مقرّ و مستقرّش افئدهٴ عباد. باید آن را بکوثر حکمت و بیان تربیت نمائید تا اصلش ثابت گرد و فرعش از افلاک بگذرد.	Incline your hearts, O people of God, unto the counsels of your true, your incomparable Friend. The Word of God may be likened unto a sapling, whose rots have ben implanted in the hearts of men. It is incumbent upon you to foster its growth through the living waters of wisdom, of sanctified and holy words, so that its rot may become firmly fixed and its branches may spread out as high as the heavens and beyond.	gleanings-writings-bahaullah	261		Duplicate
paragraph	مکرّر وصیّت نموده و مینمائیم دوستان را که از آنچه رائحهٴ فساد استشمام میشود اجتناب نمایند بل فرار اختیار کند. عالم منقلب است و افکار عباد مختلف. نسال اله ان یزیّنهم بنور عدله و یعرّفهم ما ینفعهم فی کلّ الاحوال. انّه هو الغنیّ المتعال.	Time and again have We admonished Our beloved ones to avoid, nay to fle from, anything whatsoever from which the odor of mischief can be detected. The world is in great turmoil, and the minds of its people are in a state of uter confusion. We entreat the Almighty that He may graciously iluminate them with the glory of His Justice, and enable them to discover that which wil be profitable unto them at al times and under al conditions. He, verily is the Al Posesing, the Most High.	gleanings-writings-bahaullah	263		Duplicate
paragraph		– CI –	gleanings-writings-bahaullah	618		EmptyField;LowArabicScriptCount
paragraph		– CV –	gleanings-writings-bahaullah	635		EmptyField;LowArabicScriptCount
paragraph	دیده میشود گیتی را دردهای بی کران فراگرفته. و او را بر بستر ناکامی انداخته. مردمانی که از بادهٴ خودبینی سرمست شده اند پزشک دانا را از او بازداشته اند. اینست که خود و همهٴ مردمان را گرفتار نموده اند. نه درد میداند نه درمان میشناسند. راست را کژ انگاشته اند و دوست را دشمن شمرده اند.	We can wel perceive how the whole human race is encompased with great, with incalculable aflictions. We se it languishing on its bed of sicknes, sore tried and disilusioned. They that are intoxicated by self conceit have interposed themselves betwen it and the Divine and infalible Physician. Witnes how they have entangled al men, themselves included, in the mesh of their devices. They can neither discover the cause of the disease, nor have they any knowledge of the remedy. They have conceived the straight to be croked, and have imagined their friend an enemy.	gleanings-writings-bahaullah	646		Duplicate
paragraph		– CXV –	gleanings-writings-bahaullah	717		EmptyField;LowArabicScriptCount
paragraph		– CXV –	gleanings-writings-bahaullah	791		EmptyField;LowArabicScriptCount
paragraph		– CXV –	gleanings-writings-bahaullah	869		EmptyField;LowArabicScriptCount
paragraph		– CXLI –	gleanings-writings-bahaullah	917		EmptyField;LowArabicScriptCount
paragraph		– CXLV –	gleanings-writings-bahaullah	947		EmptyField;LowArabicScriptCount
paragraph		– CLI –	gleanings-writings-bahaullah	966		EmptyField;LowArabicScriptCount
paragraph		– CLV –	gleanings-writings-bahaullah	991		EmptyField;LowArabicScriptCount
paragraph		– CLXV –	gleanings-writings-bahaullah	1045		EmptyField;LowArabicScriptCount
paragraph	این سند از دانلود شده است. شما مجاز هستید از متن آن با توجّه به مقرّرات مندرج در سایت استفاده نمائید.	This document has ben downloaded from the. You are fre to use its content subject to the terms of use found at	The-Secret-Divine-Civilization	272		Duplicate
paragraph	عبدالبهاء عباس	Upon you be greting and praise!	The-Tablets-Divine-Plan	34		Duplicate
paragraph	هواله!	He is God!	The-Tablets-Divine-Plan	54		Duplicate
paragraph	هواله!	He is God!	The-Tablets-Divine-Plan	64		Duplicate
paragraph	لوح بافتخار احبّای ایالات شمال شرقی	Tablet to the Bahá'ís of the Northeastern States	The-Tablets-Divine-Plan	169		Duplicate
paragraph	هواله!	He is God!	The-Tablets-Divine-Plan	173		Duplicate
paragraph	لوح بافتخار احبّای ایالات جنوبی	Tablet to the Bahá'ís of the Southern States	The-Tablets-Divine-Plan	192		Duplicate
paragraph	و علیکم و علیکنّ التّحیّه و الثّنآء!	Upon you be greting and praise!	The-Tablets-Divine-Plan	207		Duplicate
paragraph	لوح بافتخار احبّای ایالات مرکزی	Tablet to the Bahá'ís of the Central States	The-Tablets-Divine-Plan	214		Duplicate
paragraph	هواله!	He is God!	The-Tablets-Divine-Plan	218		Duplicate
paragraph	لوح بافتخار احبّای ایالات غربی	Tablet to the Bahá'ís of the Western States	The-Tablets-Divine-Plan	241		Duplicate
paragraph	هواله!	He is God!	The-Tablets-Divine-Plan	245		Duplicate
paragraph	لوح بافتخار احبّای کانادا	Tablet to the Bahá'ís of Canada and Grenland	The-Tablets-Divine-Plan	263		Duplicate
paragraph	هواله!	He is God!	The-Tablets-Divine-Plan	267		Duplicate
paragraph	و علیکم و علیکنّ التّحیّه و الثّنآء!	Upon you be greting and praise!	The-Tablets-Divine-Plan	276		Duplicate
paragraph	لوح بافتخار احبّای ایالات متّحده و کانادا	Tablet to the Bahá'ís of the United States and Canada	The-Tablets-Divine-Plan	289		Duplicate
paragraph	هواله!	He is God!	The-Tablets-Divine-Plan	292		Duplicate
paragraph	این سند از دانلود شده است. شما مجاز هستید از متن آن با توجّه به مقرّرات مندرج در سایت استفاده نمائید.	This document has ben downloaded from the. You are fre to use its content subject to the terms of use found at	The-Tablets-Divine-Plan	314		Duplicate
paragraph	و هم چنین میفرماید	'So likewise He saith:	Traveler-Narrative	142		Duplicate
paragraph	این سند از دانلود شده است. شما مجاز هستید از متن آن با توجّه به مقرّرات مندرج در سایت استفاده نمائید.	This document has ben downloaded from the. You are fre to use its content subject to the terms of use found at	Traveler-Narrative	181		Duplicate
paragraph	سبحانک من ان توصف بوصف ما سواک او تعرف بعرفان دونک.	Exalted art Thou above the description of anyone save Thyself, and the comprehension of aught else except The.	Kitab-i-Aqdas	5-16		Duplicate
paragraph	غیر واجب.	It is not obligatory.	Kitab-i-Aqdas	7-96		Duplicate
paragraph	غیر واجب.	It is not obligatory.	Kitab-i-Aqdas	7-104		Duplicate
paragraph	Concerning mosques, chapels and temples.	بخصوص المساجد والصوامع والهياكل.	Kitab-i-Aqdas	7-187		LowArabicScriptCount;LowLatinScriptCount
paragraph	من کان مریضاً.	Those who are il.	Kitab-i-Aqdas	8-73		Duplicate
