rank	term	df	tf	example
13	آجودان‌باشی	1	1	جمهور غفیر علما بتکفیر پرداختند و فتوای قتل و تدمیر دادند و حسینخان آجودان‌باشی را که حاکم فارس بود بر آن داشتند که داعیان باب یعنی ملّا صادق مقدّس را تازیانه زد و با میرزا محمّد علی بارفروشی و ملّا علی اکبر اردستانی هر سه را محاسن سوزانیده و مهار نموده در کوچه و بازار گردانیدند.
14	آحاد	1	1	بعضی از امرا و آحاد ناس اعتراض نموده‌اند که این مظلوم از علما و سادات نبوده.
15	آخرا	1	1	در قطب امکان شأن اعظم و مقام اکبر ارفع افخم ظاهراً و باطناً اوّلاً و آخراً انبیای الهی راست.
16	آخرتند	1	1	و از این جهت محتاج کلمات رموزیّه از اخبارات ثواب و عقاب در دار آخرتند.
17	آخری	1	1	و بسلطان الرّفعة الی سمآء قدسک عرّجنی یا اوّلی و باریاح الصّمدیّة فابهجنی یا آخری.
18	آخریتک	1	1	و بأوّلیّته حقّق اوّلیّتک و بآخریّته ثبت آخریّتک.
19	آخرین	1	1	ولا توجد طریقة خاصة لتلاوة الأدعیة والمناجاة، ولکلّ الحریة فی تلاوتها على انفراد أو مع آخرین.
20	آخریه	1	1	و اگر الی ما لا نهایه بعقول اوّلیّه و آخریّه در این لطیفهٴ ربّانیّه و تجلّی عزّ صمدانیّه تفکّر نمائی البتّه از عرفان او کما هو حقّه خود را عاجز و قاصر مشاهده نمائی.
21	آدابی	1	1	و چون اذن حضور یافت در نزد سراپرده بتمکین و آرام و آدابی زایدالوصف و بآواز بلند یا سلطان قد جئتک من سبإ بنبإ عظیم ناطق گشت.
22	آدمی	1	1	و از بهآءالله در این خصوص چون سوٴال شد در جواب گفت نفس واقعه بر حقیقت حال دلالت میکند و شهادت میدهد که این کار آدمی بی فکر و عقل و دانش است.
23	آدمیان	1	1	ولکن بشرط آنکه در دست حکیم دانای حاذق باشد والّا اگر جمیع ادویهٴ برء السّاعه که خداوند عالمیان بجهت شفای آلام و اسقام آدمیان خلق فرموده بدست طبیب غیر حاذق افتد صحّت و عافیت میسّر نگردد بلکه بالعکس سبب اهلاک نفوس بیچارگان و اذیّت قلوب درماندگان گردد.
24	آدمیانست	1	1	زیرا سایهٔ الهی ملجأ عالمیان و ملاذ آدمیانست تخصیص بحزبی نداشته.
25	آذانهای	1	1	در لوحی از الواح این کلمهٔ علیا را ذکر نمودیم اگر عالم روح بتمامه بقوّهٔ سامعه تبدیل شود میتوان گفت لائق اصغاء این ندا است که از افق اعلی مرتفع والّا این آذانهای آلوده بقصص کاذبه لائق نبوده و نیست.
26	آر	1	1	یا ارض الطّآء یاد آر هنگامی را که مقرّ عرش بودی و انوارش از در و دیوارت ظاهر و هویدا.
27	آراستند	1	1	چه که غربت سبب شهرت گشت بقسمی که بسیاری از طوائف سائره ارتباط و اتّحادی خواستند و اسباب الفتی آراستند.
28	آراسته‌اند	1	1	با وجود آنکه جمعی در محافل و مجالس تزییف و تشنیع مینمودند که این طائفه فتنهٔ آفاقند و هادم عهد و میثاق منبع فسادند و مخرّب بلاد آتش افروخته‌اند و جهانی را سوخته اگرچه بظاهر آراسته‌اند لکن هر نقمت و عقوبتی را شایسته لکن حضرات بصبر و سکون و تاٴنّی و ثبوت سلوک نمودند حتّی بجهت مدافعه مزاحم مقامات عالیه نگشتند و بخانهٔ احدی از افاخم آن مملکت مراوده ننمودند.
29	آرایش	1	1	پس گوهر پاک مردمرا از میان آفریدگان برگزید و او را بپوشش بزرگی آرایش فرمود.
30	آرمیدند	1	1	و چون بهآءالله با علما و فضلا و بزرگان و ارکان ملاقات مینمود و صیت و شهرتی در رومیلی حاصل نمود خلاصه اسباب آسایش فراهم شد و خوف و خشیتی باقی نماند در مهد راحت آرمیدند و اوقاتی بآسودگی میگذرانیدند که سیّد محمّد نامی اصفهانی یکی از اتباع با میرزا یحیی طرح آمیزش و الفتی ریخت و اسباب صداع و کلفتی گشت.
31	آریم	1	1	دیگر مقصد و مرادی نداشته و نداریم که مراجعت کنیم و درد سر آریم.
32	آزار	1	1	عریان نمودند و تازیانه زدند و محاسنش بیالودند و بر درازگوشی واژگونه سوار و در کوچه و بازار بمنتهای آزار با طبل و شیپور و تار و طنبور بگرداندند.
33	آزرده	1	1	در این شلّیک گلوله‌ها چنان تاٴثیر نموده بود که سینه مشبّک گشته و اعضا کل تشریح شده مگر صورت که اندکی آزرده شده بود.
34	آزرده‌خاطر	1	1	پادشاه بغایت آزرده‌خاطر شده.
35	آسانی	1	1	چار‌ه‌ئی حاصل نشد و فائده‌ بدست نیامد این درد را درمانی و این زخم را مرهم آسانی میسّر نشد.
36	آسایش‌پرور	1	1	و قضیّهٴ مشهورهٴ پادشاه آشتی و آسایش‌پرور در تدارکات مهمّات حربیّه و ازدیاد قوّهٴ عسکریّه بیشتر از ملوک جنگ‌آور بذل جهد بلیغ مینمایند.
37	آسمانیشان	1	1	و هم‌چنین ملوک معدلت‌سلوکی که صیت جهانبانی و عدالت آسمانیشان آفاق کائنات را فراگرفته و آوازهٔ حقوق‌پروری و بزرگواریشان اقالیم سبعه را احاطه نموده.
38	آسود‌گی	1	1	در هیچ عهد و عصری انبیا از شماتت اعدا و ظلم اشقیا و اعراض علما که در لباس زهد و تقوی ظاهر بودند آسود‌گی نیافتند.
39	آسیاب	1	1	و بجهت گردش آسیاب خود مزارع و کشت‌زار جمع غفیری را تشنه و خراب میکند.
40	آسیب	1	1	کوشش نمائید تا بگذرد و بشما آسیب نرساند.
41	آسیبی	1	1	بهیچ یک ادنی آسیبی نرسیده بود.
42	آشامیده‌اند	1	1	علمائی که فی‌الحقیقه از کاٴس انقطاع آشامیده‌اند ابداً متعرّض این عبد نشده‌اند چنانچه مرحوم شیخ مرتضی اعلی الله مقامه و اسکنه فی ظلّ قباب عنایته در ایّام توقّف در عراق اظهار محبّت میفرمودند و به غیر ما اذن الله در این امر تکلّم ننمودند.
43	آشور	1	1	و چون قانون تعرّض آیین سائر طوائف بمیان آمد و اصول مسئولیّت افکار وضع و اساس شد ممالک وسیعهٔ سلطنت ایران تناقص نمود و قطعات کثیره و اقالیم عظیمه از دست رفت تا آنکه باین درجه رسید که قطعات جسیمهٔ توران و آشور و کلدان از دست رفت تطویل چه لزوم.
44	آشیانه	1	1	بابیها کلّاً بهمراهی ضابطان بآن شهر روانه شده لانه و آشیانه نمودند.
45	آفاقرا	1	1	آفاقرا از نفحات وحی و الهام زنده نمودیم.
46	آفاقند	1	1	با وجود آنکه جمعی در محافل و مجالس تزییف و تشنیع مینمودند که این طائفه فتنهٔ آفاقند و هادم عهد و میثاق منبع فسادند و مخرّب بلاد آتش افروخته‌اند و جهانی را سوخته اگرچه بظاهر آراسته‌اند لکن هر نقمت و عقوبتی را شایسته لکن حضرات بصبر و سکون و تاٴنّی و ثبوت سلوک نمودند حتّی بجهت مدافعه مزاحم مقامات عالیه نگشتند و بخانهٔ احدی از افاخم آن مملکت مراوده ننمودند.
47	آفریده	1	1	آفرینندهٴ یکتا مردم را یکسان آفریده و او را بر همهٴ آفریدگان بزرگی داده.
48	آفرید‌گار	1	1	بلکه از فضل پروردگار و عنایات مقرّبین درگاه آفرید‌گار و همّت بیهمتای نفوس کاملهٴ ماهره و افکار و آراء فراید زمانه هیچ امری در وجود ممتنع و محال نبوده و نیست.
49	آفرین	1	1	بعضی ملاحظه نمودند که این خوب اسباب فسادیست و وسیلهٔ ظهور عناد بظاهر تقویت او نمودند و آفرین گفتند و تشویق و تحریص کردند که شما خود رکن اعظمید و ولیّ مسلّم باستقلال حرکت کنید تا فیض و برکت آشکار گردد.
