term	idf	df	example
استعلآء	9.1943	2	فأرسل یا الهی علی احبّتی ما تفرح به قلوبهم و تستنیر به وجوههم و تسترّ به ذواتهم و انت تعلم یا الهی انّ فرحهم فی استعلآء امرک و اعلآء کلمتک.
استفسار	9.1943	2	ایکاش حضرت پادشاه ممالک ایران ادام الله سلطانه از قناسل دولت علیّهٔ ایران که در این جهات بوده‌اند استفسار فرمایند تا بر افعال و اعمال این مظلوم آگاه شوند.
اسرائیل	9.1943	2	قوله فاستعدّ للقآء الهک یا اسرائیل فانّه هو ذا الّذی صنع الجبال و خلق الرّیح و اخبر الانسان ما هو فکره الّذی یجعل الفجر ظلاماً و یمشی علی مشارف الأرض یهوه اله الجنود اسمه.
اسلحه	9.1943	2	از جمله ذکر نمود حضرات اسلحه جمع کرده‌اند و بعد از تفحّص ملاحظه شد یک لولهٔ تفنگ من غیر اسباب بوده!
اسکن	9.1943	2	و انا أقول: ان اصبر ثمّ اسکن.
اشعاری	9.1943	2	یشهد لسان سرّی و جهری و اعضائی و جوارحی و عروقی و اشعاری بأنّک انت اللّه لا اله الّا انت.
اصلیهٴ	9.1943	2	ولکن مقصود صعود انفس طیّبه و جواهر مجرّده است که بفطرت اصلیّهٴ خود بشاطی بحر اعظم وارد شوند تا طالبان جمال ذو الجلال از عاکفان امکنهٴ ضلال و اضلال از یکدیگر مفصول و ممتاز شوند.
اطمئنی	9.1943	2	اطمئنّی بفضل ربّک.
اعترافهم	9.1943	2	بل انّه یری نفسه اخجل منهم عند اعترافهم بما فات عنهم فی ایّامک.
افغان	9.1943	2	مرا چنان گمان بود که حضرت اتابک مرا مأمور بحرب افغان و اوزبک خواهد نمود و یا برزم و هجوم مرز و بوم روس و روم دلالت خواهد کرد.
اقتل	9.1943	2	اشهد یا الهی لو اقتل فی سبیلک فی کلّ حین الف مرّة لا یعادل بقلیل ما اعطیتنی بفضلک.
الآیتین	9.1943	2	إذا أرید الطلاق بعد تلاوة الآیتین ودفع المهر، قبل الدخول، جاز الطلاق، ولا لزوم لأیام الاصطبار، ولکن لا یجوز استرداد المهر.
الأرفع	9.1943	2	لو یطّلع احد علی ما قدّر له فی عوالم الله ربّ العرش و الثّری لیشتعل فی الحین شوقاً لذاک المقام الأمنع الأرفع الأقدس الأبهی....
الأساسی	9.1943	2	وأنّ الهدف الأساسیّ، عند ثبوت هذا الجرم وفرض الغرامة، هو فضح أمر المذنبین لیلحقهم الخزی والعار، کما أوضح أنّ هذا التشهیر فی حدّ ذاته أعظم عقاب
الألسن	9.1943	2	تری ما ورد علی المظلوم من الّذین ما عاشرونی و قاموا علی ضرّی و مسکنتی بحیث عجزت الأقلام عن ذکره و الألسن عن بیانه و الألواح عن حمله.
الأنهار	9.1943	2	و اسألک یا الهی باسمک الّذی به امطرت السّحاب و جرت الأنهار و اشتعلت نار الحبّ فی الأشطار بأن تنصر عبدک الّذی اقبل الیک و نطق بذکرک و اراد نصرتک.
الأولیة	9.1943	2	و کبّر اللّهمّ یا الهی علی النّقطة الأوّلیّة و سرّ الأحدیّة و غیب الهویّة و مطلع الألوهیّة و مظهر الرّبوبیّة الّذی به فصّلت علم ما کان و ما یکون و ظهرت لآلئ علمک المکنون و سرّ اسمک المخزون و جعلته مبشّراً للّذی باسمه الّف الکاف برکنها النّون و به ظهرت سلطنتک و عظمتک و اقتدارک و نزّلت آیاتک و فصّلت احکامک و نشرت آثارک و حقّقت کلمتک و بعثت قلوب اصفیائک و حشر من فی سمائک و ارضک الّذی سمّیته بعلیّ قبل نبیل فی ملکوت اسمائک و بروح الرّوح فی الواح قضائک و اقمته مقام نفسک و رجعت کلّ الأسمآء الی اسمه بأمرک و قدرتک و به انتهت اسمائک و صفاتک.
الإنصاف	9.1943	2	لعمری من شرب رحیق الإنصاف من أیادی الألطاف إنه یطوف حول أوامری المشرقة من أفق الإبداع.
الاختلاف	9.1943	2	الرّجوع إلى النصوص المبارکة عند الاختلاف.
الاریاح	9.1943	2	قد اخذتنی حرارة حبّک و سکر رحیق توحیدک علی مقام اسمع من هزیز الاریاح ذکرک و ثنآئک و من خریر المآء نعتک و اوصافک و من حفیف الاشجار اسرار قضآئک الّتی اودعتها فی مملکتک.
البارد	9.1943	2	الحُکم واحد فی الحالین، ویُرجّح الماء الفاتر، ولا بأس من استعمال الماء البارد.
البدن	9.1943	2	طوبی لروح خرج من البدن مقدّساً عن شبهات الأمم.
البشارات	9.1943	2	وذکر حضرة بهاءالله فی لوح البشارات أنّ مثل هذا الاعتراف وطلب المغفرة أمام إنسان آخر یقود إلى المهانة والمذلّة، والله جلّ جلاله لا یحبّ لعباده الذُّلّ والهوان.
البشری	9.1943	2	اختیار لسان واحد وانتخاب خطّ عمومی لاستعمال أهل العالم هما إحدى علامتی بلوغ الجنس البشری رشده
البقاء	9.1943	2	یا ملوک أمریقا ورؤساء الجمهور فیها اسمعوا ما تَغُنُّ به الورقاء على غصن البقاء إنه لا إله إلا أنا الباقی الغفور الکریم.
البنآء	9.1943	2	کذلک ینبئک النّبأ الأعظم من هذا البنآء العظیم.
التجارة	9.1943	2	فاعلموا بأنّ البلایا و المحن لم یزل کانت موکّلة لأصفیآء الله و احبّائه ثمّ لعباده المنقطعین الّذین لا تلهیهم التّجارة و لا بیع عن ذکر الله و لا یسبقونه بالقول و هم بأمره لمن العاملین.
الحالین	9.1943	2	الحُکم واحد فی الحالین، ویُرجّح الماء الفاتر، ولا بأس من استعمال الماء البارد.
الحان	9.1943	2	مثلاً عالم ربّانی اگر در محاورهٔ با شخص مسیحی از الحان جلیل انجیل بی‌خبر باشد آنچه از حقایق فرقانیّه بیان نماید ابداً مسموع و مقبول آن شخص نیفتد.
