rank	term	df	tf	example
11	نیست	63	63	یا شیخ امروز روز علوم و فنون ظاهره نبوده و نیست چه که ملاحظه شد نفسی که بیک کلمه از آن علوم آگاه نه بر کرسیّ عقیان در صدر مجلس عرفان مستوی و صاحب علوم و دارای فنون محروم.
12	همچنین	63	63	و همچنین میفرماید ای بظاهر آراسته و بباطن کاسته!
13	وقد	63	63	هذه إشارة إلى میرزا یحیى، الملقّب بصبح أزل، وهو أخ لأب أصغر سنّاً من حضرة بهاءالله، وقد خرج على طاعته، وعارض دعوته
14	یقول	63	63	و انّ دمی یخاطبنی فی کلّ الأحیان و یقول:یا طلعة الرّحمن.
15	اشهد	63	64	اشهد یا الهی لو اقتل فی سبیلک فی کلّ حین الف مرّة لا یعادل بقلیل ما اعطیتنی بفضلک.
16	الکریم	63	64	لا اله الّا انت العزیز الباقی المعطی الکریم.
17	همت	63	64	ای اهل بها کمر همّت را محکم نمائید که شاید جدال و نزاع مذهبی از بین اهل عالم مرتفع شود و محو گردد.
18	تعالی	63	65	ثمّ یرفع یدیه للقنوت لله تبارک و تعالی و یقول
19	إلا	63	66	إیاکم أن تدخلوا بیتاً عند فقدان صاحبه إلا بعد إذنه
20	روز	63	66	یا شیخ امروز روز علوم و فنون ظاهره نبوده و نیست چه که ملاحظه شد نفسی که بیک کلمه از آن علوم آگاه نه بر کرسیّ عقیان در صدر مجلس عرفان مستوی و صاحب علوم و دارای فنون محروم.
21	نار	63	66	سبحانک اللّهمّ یا الهی لم ادر بأیّ مآء خلقتنی و بأیّ نار اشتعلتنی و بأیّ تراب عجنتنی.
22	حزب	63	68	و در ایّام و لیالی در سجن مذکور در اعمال و احوال و حرکات حزب بابی تفکّر مینمودیم که مع علوّ و سموّ و ادراک آن حزب آیا چه شده که از ایشان چنین عملی ظاهر یعنى جسارت و حرکت آن حزب نسبت بذات شاهانه.
23	عندک	64	64	تالله ما عندک إنه من القشور ترکناها لکم کما تُترک العظام للکلاب
24	ملت	64	65	این مظلوم لازال همّش و قصدش ارتفاع و ارتقاء دولت و ملّت بوده نه ارتفاع مقام خود.
25	لدی	64	67	ای ربّ فألهمهم عجز انفسهم تلقآء مظهر نفسک و علّمهم فقر ذواتهم لدی ظهورات غنائک و استغنائک لیجمعوا علی امرک و یتشبّثوا بذیل رحمتک و یتمسّکوا بحبل ارادتک.
26	سبحانک	64	78	سبحانک یا الهی.
27	مظاهر	65	65	إنّا جعلناها مظاهر الهاء بین اللیالی والأیام
28	تعلم	65	66	ای ربّ لم ار لک ناصراً دونک و لا معیناً سواک. اسألک بأن تجعلنی ثابتاً علی حبّک و ذکرک و هذا ما استطیع علیه و انّک تعلم ما فی نفسی و انّک انت العلیم الخبیر ای ربّ لا تحرمنی من بوارق انوار وجهک الّذی به استضآء الآفاق لا اله الّا انت المقتدر العزیز الغفّار
29	ظهورات	65	67	شجّعتنی مواهبک و الطافک و ظهورات فضلک و عنایتک.
30	فیما	65	67	تشیر هذه الآیة المبارکة إلى وصول حضرة بهاءالله وأصحابه إلى حدیقة النجیبیّة بالقرب من مدینة بغداد، التی أطلق علیها البهائیون فیما بعد اسم حدیقة الرّضوان
31	اذ	65	69	ثمّ اجعلنا من الّذین نصروک اذ کنت بین ایادی الأعدآء من طغاة خلقک و عصاة بریّتک.
32	الیه	65	69	ای ربّ لا اجد دونک من کریم لأتوجّه الیه و لا سواک من رحیم لأسترحم منه
33	بالله	66	66	شرحت بیانات کثیرة فی الآثار المبارکة حقیقة المظاهر الإلهیّة وعلاقتهم بالله سبحانه وتعالى
34	دونک	66	66	ای ربّ لم ار لک ناصراً دونک و لا معیناً سواک. اسألک بأن تجعلنی ثابتاً علی حبّک و ذکرک و هذا ما استطیع علیه و انّک تعلم ما فی نفسی و انّک انت العلیم الخبیر ای ربّ لا تحرمنی من بوارق انوار وجهک الّذی به استضآء الآفاق لا اله الّا انت المقتدر العزیز الغفّار
35	شاید	66	66	ای توانا ناتوانانرا توانائی بخش و مردگان را زندگی عطا فرما شاید تو را بیابند و بدریای آگاهیت راه یابند و بر امرت مستقیم مانند.
36	لأن	66	66	فقد شرح حضرة ولی أمرالله فی رسالة کُتبت بناءً على تعلیماته أنّ هذه مسألة على بیت العدل الأعظم أن یسنّ لها التّشریع اللازم، لأنّ الکتاب الأقدس لم یتعرّض لها
37	اتی	66	67	انّه اتی من سمآء الغیب و معه رایة یفعل ما یشآء و جنود القدرة و الاختیار
38	ایها	66	68	و الآن یخاطبنی من اعلی المقام یا ایّها المسجون نفسی لسجنک الفدآء یا ایّها المظلوم ذاتی لبلائک الفدآء.
39	الملک	66	69	انّ لطیور ممالک ملکوتی و حمامات ریاض حکمتی تغرّدات و نغمات ما اطّلع علیها الّا الله مالک الملک و الجبروت.
40	جمالک	66	69	سبحانک اللّهمّ یا الهی اسألک باسمک الأعظم الّذی ابتلی بین ایدی المشرکین من بریّتک و احاطته الأحزان من کلّ الجهات علی شأن لا یذکر بالبیان بأن توفّقنی علی ذکرک و ثنائک فی هذه الأیّام الّتی کلّ اعرضوا عن جمالک و اعترضوا علیک و استکبروا علی مظهر امرک.
41	عرف	66	69	و کلّما اتفکّر فی بحر عطائک و سمآء جودک و شمس فضلک اجد عرف الرّجآء من الیمین و الیسار و الجنوب و الشّمال
42	لن	66	74	لن تضرّنا سیّئاتکم کما لا تنفعنا حسناتکم
43	الظهور	67	68	ولکن فی هذا الظهور الأعظم أعفینا دار السُّکنى ومتاع البیت، بقدر ما تدعو إلیه الحاجة منها
44	ولا	67	68	ولا یُسئل عما شاء
45	لوح	67	70	نزّلت صلاة تسع الرّکعات فی لوح منفصل توخّیاً للحکمة
46	میرزا	67	73	هذه إشارة إلى میرزا یحیى، الملقّب بصبح أزل، وهو أخ لأب أصغر سنّاً من حضرة بهاءالله، وقد خرج على طاعته، وعارض دعوته
47	الطافک	68	68	شجّعتنی مواهبک و الطافک و ظهورات فضلک و عنایتک.
48	محبوب	68	68	اسألک یا محبوب قلبی و المذکور فی صدری بأن تحفظ احبّائی من شائبة النّفس و الهوی.
49	شخص	68	70	در این سجن شخص معزّزی چندی از سنگ‌تراشی کسب معاش مینمود و در بعضى از اوقات هم بعضی بطعام الله مرزوق یعنى جوع!
