rank	term	df	tf	example
14	استقامت	10	10	استقامت و ثبوت و رسوخ و اطمینان و تمکین و وقار شهدای این ظهور ذکر شد تا آن جناب آگاه شوند.
15	اسمعوا	10	10	اسمعوا یا اولی الأبصار ثمّ اعتبروا یا اولی الأنظار!
16	اشیاء	10	10	از جمیع اشیاء نداء قد اتی الحقّ اصغا کنید.
17	اطاعت	10	10	الی ان قال عزّ ذکره میفرماید اگر بظهور او فائز شدی و اطاعت نمودی ثمرهٔ بیان را ظاهر کردی والّا لائق ذکر نیستی نزد خداوند.
18	اعین	10	10	ای ربّ فانظر هذا الفقیر بلحظات اعین غنائک و نوّر قلبه بنور معرفتک لیعرف حقایق اللّاهوت و اسرار الجبروت و ظهورات الملکوت و شئونات النّاسوت تلقآء ظهور مظهر نفسک.
19	افتح	10	10	و عندک مفاتیحها ان افتح بقدرتک و سلطانک.انّک انت المقتدر علی ما تشآء
20	اقدام	10	10	و ایّدهم علی حبّک و رضائک ثمّ استقمهم علی صراط امرک الّذی زلّ عنه اقدام المریبین من بریّتک و المعرضین من عبادک.
21	اقوم	10	10	اسألک یا مالک الأسمآء و فاطر الأرض و السّمآء بأن تؤیّدنی علی شأن لا یمنعنی شیء عن ذکرک و ثنائک و لا یشغلنی امر عمّا امرتنی به فی الواحک اقوم علی امرک علی شأن اعرّی رأسی و اطلع من البیت صائحاً باسمک بین خلقک و ناطقاً بذکرک بین عبادک.
22	الأحزان	10	10	سبحانک اللّهمّ یا الهی اسألک باسمک الأعظم الّذی ابتلی بین ایدی المشرکین من بریّتک و احاطته الأحزان من کلّ الجهات علی شأن لا یذکر بالبیان بأن توفّقنی علی ذکرک و ثنائک فی هذه الأیّام الّتی کلّ اعرضوا عن جمالک و اعترضوا علیک و استکبروا علی مظهر امرک.
23	الأحلی	10	10	کنت نائماً فی رقد الهوی ایقظتنی بندائک الأحلی و کشفت لی جمالک و اسمعتنی آیاتک و عرّفتنی نفسک و انطقتنی بذکرک و ثنائک و جعلتنی ثابتاً فی حبّک.
24	الأنظار	10	10	اسألک بسلطنتک المکنونة عن الأنظار بأن تظهر من کلّ الجهات آیات عنایاتک و ظهورات الطافک لأقوم بالرّوح و الرّیحان علی بدائع ذکرک یا رحمن و احرّک الأشیآء باسمک و اوقد نار البیان بین خلقک علی شأن تملأ الآفاق انوار بهائک و یشتعل الوجود بنار امرک.
25	الارض	10	10	فلمّا اتی المیقات و ظهر القضآء بعد القدر بالامضآء انطقته بثنائک و اسرارک بین ملأ الانشآء یا مالک الاسمآء و فاطر الارض و السّمآء.
26	البصیر	10	10	انّ السّعید من اقبل الی کعبة لقآئک و انقطع عن سوآئک. و العزیز من اعترف بعزّک و توجّه الی شمس عنایتک. و العلیم من اطّلع بظهورک و اقرّ بشئوناتک و آیاتک و بیّناتک. و البصیر من تنوّرت عیناه بنور جمالک و عرفک اذ ارتفع ندآئک. و السّمیع من فاز باصغآء بیانک و تقرّب الی طمطام بحر آیاتک.
27	البینات	10	10	انّ الّذی اعرض و استکبر بعدما جآءته البیّنات من لدن منزل الآیات لیحبط الله عمله.
28	الجبروت	10	10	انّ لطیور ممالک ملکوتی و حمامات ریاض حکمتی تغرّدات و نغمات ما اطّلع علیها الّا الله مالک الملک و الجبروت.
29	الرجآء	10	10	و کلّما اتفکّر فی بحر عطائک و سمآء جودک و شمس فضلک اجد عرف الرّجآء من الیمین و الیسار و الجنوب و الشّمال
30	الرضوان	10	10	تشیر هذه الآیة المبارکة إلى وصول حضرة بهاءالله وأصحابه إلى حدیقة النجیبیّة بالقرب من مدینة بغداد، التی أطلق علیها البهائیون فیما بعد اسم حدیقة الرّضوان
31	الساعة	10	10	اسألک باسمک الّذی به ظهرت السّاعة و قامت القیامة و فزع من فی السّموات و الأرض بأن تنزل من سمآء رحمتک و سحاب رأفتک ما تفرح به قلوب عبادک الّذین اقبلوا الیک و نصروا امرک.
32	السفینة	10	10	بک انشقّ ستر الرّبوبیّة و غرقت السّفینة و عقرت النّاقة و ناح الرّوح فی مقام رفیع.
33	الصلوة	10	10	و الصّلوة و السّلام و التّکبیر و البهآء علی اولیائک الّذین ما منعتهم شؤونات الخلق عن الاقبال الیک و انفقوا ما عندهم رجآء ما عندک.
34	الظلمة	10	10	قد اخذت الظّلمة کلّ الأقطار و احاطت الفتنة کلّ الأشطار.
35	العشی	10	10	قدّر لها ما قدّرته لامائک اللّائی یطفن حول عرش عظمتک و یزرن جمالک فی العشیّ و الاشراق.
36	الغفار	10	10	ای ربّ لم ار لک ناصراً دونک و لا معیناً سواک. اسألک بأن تجعلنی ثابتاً علی حبّک و ذکرک و هذا ما استطیع علیه و انّک تعلم ما فی نفسی و انّک انت العلیم الخبیر ای ربّ لا تحرمنی من بوارق انوار وجهک الّذی به استضآء الآفاق لا اله الّا انت المقتدر العزیز الغفّار
37	الفطرة	10	10	انّ البهآء یحترق فی کلّ حین بنار محبّتک علی شأن لو یتقرّب الیه احد من خلقک و یتوجّه الیه بسمع الفطرة لیسمع زفیر النّار من کلّ عرق من عروقه.
38	الفیاض	10	10	و به اشرق نور التّوحید من افق العالم و حکم التّفرید بین الأمم الّذین اقبلوا بوجوه نورآء الی الأفق الأعلی و اعترفوا بما نطق به لسان البیان فى ملکوت العرفان الملک و الملکوت و العظمة و الجبروت لله المقتدر العزیز الفیاض!
39	القضایا	10	10	کأنّ فی قلوبهم اضآء سراج حبّک و مصباح ودّک. لا یقلّبهم البلایا عن امرک و لا القضایا عن رضائک. اسألک یا الهی بهم و بزفرات الّتی تخرج من قلوبهم فی فراقک ان تحفظهم من شرّ اعدائک و ترزقهم ما قدّرته لأولیائک الّذین لا خوف علیهم و لا هم یحزنون
40	المقدس	10	10	لو یذکرک لسانی بأنّک انت کنت قادراً فوق کلّ ذی قدرة یخاطبنی لسان قلبی هذه کلمة ترجع الی شکلها و مثلها و انّه لهو المقدّس عن ذکر العالمین.
41	الکبرى	10	10	ذکر حضرة بهاءالله فی لوح الإشراقات أنّ المظاهر الإلهیة یختصّون بالعصمة الکبرى دون غیرهم
42	امروا	10	10	قد خضعت اعناقهم لأمرک و اخذوا کتابک بقوّتک و عملوا ما امروا به من عندک و اختاروا ما نزّل لهم من لدنک.
43	اموری	10	10	ثمّ اسألک فی آخر عرضی بأنوار وجهک ان تصلح اموری و تقضی دینی و حوائجی.
44	امیر	10	10	و حضرت امیر علیه السّلام در خطبهٔ طتنجیّه میفرماید فتوقّعوا ظهور مکلّم موسی من الشّجرة علی الطّور.
45	انزلته	10	10	و طوراً زیّنته باسم الرّوح و انزلته من سمآء مشیّتک لتربیة بریّتک و به نفخت روح الحیوان فی افئدة المقبلین من خلقک و المخلصین من عبادک.
46	انسانیت	10	10	پروردگار چشم عنایت فرموده که در آفاق بنگریم و آنچه وسیلهٴ تمدّن و انسانیّت است بآن تشبّث نمائیم.
47	انشآءالله	10	10	انشآءالله ایران مزیّن گردد و فائز شود بآنچه که الی حین از آن محروم بوده.
48	اوامرک	10	10	بحیث بلّغ الملوک جهرة رسالاتک و اوامرک و ما اراد فی حین من الأحیان حفظ نفسه بل حفظ عبادک عمّا یمنعهم عن التّقرّب الی ملکوت قربک و التّوجّه الی افق رضائک.
49	اولا	10	10	اوّلاً باید معلوم شود که مقصود از ذکر افلاک و سماء که در کتب قبل و بعد مذکور چیست و هم‌چنین ربط و اثر آن بعالم ظاهر بچه نحو.
