rank	term	surprisal	idf	df	example
26	هر	2.2036	4.8948	220	هر چه هستی توئی مادونت لایق ذکر نه
27	آخر	2.1827	6.3226	52	حرّم حضرة بهاءالله الاعتراف بالخطایا وطلب الغفران من إنسان آخر،
28	لو	2.1744	4.7635	251	انّه لو یحکم علی الیمین حکم الیسار او علی الجنوب حکم الشّمال حقّ لا ریب فیه.
29	لدی	2.1742	6.1185	64	ای ربّ فألهمهم عجز انفسهم تلقآء مظهر نفسک و علّمهم فقر ذواتهم لدی ظهورات غنائک و استغنائک لیجمعوا علی امرک و یتشبّثوا بذیل رحمتک و یتمسّکوا بحبل ارادتک.
30	علت	2.1651	6.2325	57	ای ربّ انت الّذی سبق کرمک و علت قدرتک و احاطت رحمتک.
31	لما	2.1595	6.1986	59	انّا نذکر لک الأمانة و مقامها عند الله ربّک ربّ العرش العظیم. انّا قصدنا یوماً من الأیّام جزیرتنا الخضرآء. و لمّا وردنا رأینا انهارها جاریة و اشجارها ملتفّة و کانت الشّمس تلعب فی خلال الأشجار.
32	هو	2.1410	4.6725	275	انّه هو مطلع الأوامر و الأحکام و مصدر العلم و العرفان
33	چه	2.1314	4.6369	285	آیا چه خطا اهل مدینهٴ اسماء را از افق اعلایت منع نمود و از تقرّب ببحر اعظمت محروم ساخت.
34	نطق	2.1233	6.2499	56	فلمّا ظهر بأمرک و نطق بثنائک اجتمع علیه اشرار خلقک بأسیاف البغضآء یا مالک الأسمآء.
35	مقر	2.1232	6.2499	56	لئلّا یمنعهم شیء عن جمالک فی هذه الأیّام الّتی فیها ینطق المسیح الملک لک یا موجد الرّوح و یتکلّم الحبیب لک الحمد یا محبوب بما اظهرت جمالک و کتبت لأصفیائک الورود فی مقرّ ظهور اسمک الأعظم الّذی به ناح الأمم الّا من انقطع عمّا سواک مقبلاً الی مطلع ذاتک و مظهر صفاتک.
36	شد	2.1201	4.6335	286	چه مقدار قریه‌ها کأن لم یکن ملاحظه شد!
37	کیف	2.1178	6.3611	50	إنه لهو المقتدر على ما یشاء یفعل بسلطانه کیف أراد
38	ولی	2.1143	6.2499	56	فقد شرح حضرة ولی أمرالله فی رسالة کُتبت بناءً على تعلیماته أنّ هذه مسألة على بیت العدل الأعظم أن یسنّ لها التّشریع اللازم، لأنّ الکتاب الأقدس لم یتعرّض لها
39	لأن	2.1096	6.0882	66	فقد شرح حضرة ولی أمرالله فی رسالة کُتبت بناءً على تعلیماته أنّ هذه مسألة على بیت العدل الأعظم أن یسنّ لها التّشریع اللازم، لأنّ الکتاب الأقدس لم یتعرّض لها
40	لکم	2.1067	6.3417	51	تالله ما عندک إنه من القشور ترکناها لکم کما تُترک العظام للکلاب
41	وقد	2.0955	6.1341	63	هذه إشارة إلى میرزا یحیى، الملقّب بصبح أزل، وهو أخ لأب أصغر سنّاً من حضرة بهاءالله، وقد خرج على طاعته، وعارض دعوته
42	نزد	2.0942	6.2325	57	اگر نزد شما کلمه‌ئی و یا جوهریست که دون شما از آن محروم بلسان محبّت و شفقت القا نمائید و بنمائید.
43	مرة	2.0794	6.2676	55	اشهد یا الهی لو اقتل فی سبیلک فی کلّ حین الف مرّة لا یعادل بقلیل ما اعطیتنی بفضلک.
44	ملأ	2.0790	6.2676	55	یا ملأ الأرض
45	تحت	2.0729	6.2499	56	سبحانک یا الهی ترانی تحت ایدی الظّالمین.
46	حزب	2.0665	6.1341	63	و در ایّام و لیالی در سجن مذکور در اعمال و احوال و حرکات حزب بابی تفکّر مینمودیم که مع علوّ و سموّ و ادراک آن حزب آیا چه شده که از ایشان چنین عملی ظاهر یعنى جسارت و حرکت آن حزب نسبت بذات شاهانه.
47	ولا	2.0663	6.0734	67	ولا یُسئل عما شاء
48	همت	2.0637	6.1341	63	ای اهل بها کمر همّت را محکم نمائید که شاید جدال و نزاع مذهبی از بین اهل عالم مرتفع شود و محو گردد.
49	إلا	2.0584	6.1341	63	إیاکم أن تدخلوا بیتاً عند فقدان صاحبه إلا بعد إذنه
50	نظر	2.0579	6.0588	68	یشهد کلّ ذی بصر بسلطنتک و اقتدارک و کلّ ذی نظر بعظمتک و اجتبارک.
