rank	term	df	tf	example
15	جهت	40	43	و در ایّام توقّف در سجن ارض طاء اگرچه نوم از زحمت سلاسل و روائح منتنه قلیل بود ولکن بعضى از اوقات که دست میداد احساس میشد از جهت اعلای رأس چیزى بر صدر میریخت بمثابهٔ رودخانهٔ عظیمى که از قلّهٔ جبل باذخ رفیعی بر ارض بریزد.
16	عشر	40	47	حدّد حضرة بهاءالله سنّ البلوغ الشّرعی بخمسة عشر عاماً للذکور والإناث على السّواء
17	الانشآء	41	41	اسألک یا مالک ممالک الانشآء و سلطان الأسمآء بأن تکتب اسمی من الّذین لم یزل طافوا حول سرادق مجدک و تشبّثوا بذیل عنایتک و تمسّکوا بحبل عطوفتک.
18	المتعالی	41	41	انّک انت المقتدر المتعالی العزیز العظیم.
19	اکثر	41	41	یا الهی قد احاطت الظّلمة کلّ البلاد و بها اضطربت اکثر العباد.
20	بحیث	41	41	بحیث بلّغ الملوک جهرة رسالاتک و اوامرک و ما اراد فی حین من الأحیان حفظ نفسه بل حفظ عبادک عمّا یمنعهم عن التّقرّب الی ملکوت قربک و التّوجّه الی افق رضائک.
21	دین	41	41	الیوم دین الله و مذهب الله آنکه مذاهب مختلفه و سبل متعدّده را سبب و علّت بغضا ننمایند.
22	سبقت	41	41	اسألک بآیاتک الّتی احاطت الممکنات و بنور وجهک الّذی منه اشرقت الأرضون و السّموات و برحمتک الّتی سبقت الموجودات و فضلک الّذی احاط الکائنات بأن تخرق لی حجبات المنع لأسرع الی منبع عزّ الهامک و مطلع وحیک و افضالک و اتغمّس فی بحر قربک و رضائک.
23	علیکم	41	41	قد حُرّم علیکم تقبیل الأیادی فی الکتاب.
24	لذا	41	41	لذا اخذوهم و فرّقوهم فی الأکناف اهل الاعتساف.
25	مملکتک	41	41	زیّن رأس البهآء بتاج الشّهادة فی سبیلک کما زیّنت هیکله بطراز البلآء بین اهل مملکتک.
26	نداشته	41	41	این مظلوم خیال ریاست نداشته و ندارد.
27	نیر	41	41	کذلک کان نیّر الأمر من أفق العدل مشهوداً
28	القلم	41	42	یشیر القلم الأعلى إلى حضرة بهاءالله ویبیّن مقامه کصاحب رسالة
29	شدند	41	42	مع آنکه در اکثری از بلاد ایران در این سنین اخیره این حزب کشته شدند و نکشتند مشاهده میشود بغضای افئدهٔ بعضی زیاده از قبل ظاهر.
30	واقع	41	42	و بعد از توجّه حکایت حضرت سلطان ایّده الله تبارک و تعالی واقع.
31	خواهد	41	44	و همچنین میفرماید اگر یک آیه از آیات من یظهره الله را تلاوت کنی اعزّتر خواهد بود از آنکه کلّ بیان را ثبت کنی زیرا که آن روز آن یک آیه ترا نجات میدهد ولی کلّ بیان نمیدهد انتهی.
32	أنتم	42	42	لا ونفسی الرحمن لو أنتم من المنصفین
33	الأحوال	42	42	اسألک ان تؤیّدنی فی کلّ الأحوال علی ذکرک و ثنائک و خدمة امرک
34	العرش	42	42	انّا نذکر لک الأمانة و مقامها عند الله ربّک ربّ العرش العظیم. انّا قصدنا یوماً من الأیّام جزیرتنا الخضرآء. و لمّا وردنا رأینا انهارها جاریة و اشجارها ملتفّة و کانت الشّمس تلعب فی خلال الأشجار.
35	الغیب	42	42	انّه اتی من سمآء الغیب و معه رایة یفعل ما یشآء و جنود القدرة و الاختیار
36	الممکنات	42	42	اسألک بآیاتک الّتی احاطت الممکنات و بنور وجهک الّذی منه اشرقت الأرضون و السّموات و برحمتک الّتی سبقت الموجودات و فضلک الّذی احاط الکائنات بأن تخرق لی حجبات المنع لأسرع الی منبع عزّ الهامک و مطلع وحیک و افضالک و اتغمّس فی بحر قربک و رضائک.
37	اکبر	42	42	فاحفظ احبّتک من شرّهم ثمّ اجعلهم مستقیمین علی ما ظهر من عندک فی هذا الظّهور الّذی ما کان فی علمک اکبر منه.
38	باسم	42	42	و طوراً زیّنته باسم الرّوح و انزلته من سمآء مشیّتک لتربیة بریّتک و به نفخت روح الحیوان فی افئدة المقبلین من خلقک و المخلصین من عبادک.
39	بالحق	42	42	فسبحانک یا الهی ان لم ترحم عبادک فمن یرحمهم و ان لن تأخذ ایدی احبّائک فمن تأخذهم. فسبحانک سبحانک انت المعبود بالحقّ و انّا کلّ لک عابدون و انت المشهود بالعدل و انّا کلّ لک شاهدون اذ هو المحبوب بالفضل لا اله الّا هو المهیمن القیّوم
40	بسیار	42	42	ضغینه و بغضای مذهبی ناریست عالم‌سوز و اطفاء آن بسیار صعب.
41	سحاب	42	42	اسألک بمظلومیّة نفسک و بابتلائها بین جنود الظّالمین بأن تنزل علیّ من سحاب رحمتک ما یجعلنی مقدّساً عمّا سواک لأکون لایقاً لذکرک و قابلاً لحبّک.
42	محبت	42	42	بکمال محبّت و اتّحاد و مودّت و اتّفاق سلوک نمائید.
43	مواهبک	42	42	شجّعتنی مواهبک و الطافک و ظهورات فضلک و عنایتک.
44	کمال	42	42	مثل تو مثل آب تلخ صافیست که کمال لطافت و صفا از آن در ظاهر مشاهده شود و چون بدست صرّاف ذائقهٔ احدیّه افتد قطره‌ئی از آن را قبول نفرماید.
45	بآنچه	42	43	از تو سؤال مینمایم این عبد را فائز فرمائی بآنچه سبب نجاتست در جمیع عوالم تو.
46	تجعلنی	42	43	ای ربّ لا تحرمنی عن عرفانک فی ایّامک و لا تجعلنی عریّاً عن خلع هدایتک.
47	شما	42	48	اگر نزد شما کلمه‌ئی و یا جوهریست که دون شما از آن محروم بلسان محبّت و شفقت القا نمائید و بنمائید.
48	الخبیر	43	43	ای ربّ لم ار لک ناصراً دونک و لا معیناً سواک. اسألک بأن تجعلنی ثابتاً علی حبّک و ذکرک و هذا ما استطیع علیه و انّک تعلم ما فی نفسی و انّک انت العلیم الخبیر ای ربّ لا تحرمنی من بوارق انوار وجهک الّذی به استضآء الآفاق لا اله الّا انت المقتدر العزیز الغفّار
49	اللوح	43	43	إشارة إلى تمجید حضرة الباب فی اللّوح الذی وجّهه إلى من یظهره الله بقوله إنّ البیان هدیّةً منّی إلیک
