term	idf	df	example
باشید	7.8080	11	ای دوستان الهی تفکّر نمائید و بآذان واعیه اصغای کلمة الله کنید تا از فضل و رحمت او از زلال استقامت بیاشامید و در امر الله مثل جبل راسخ و ثابت باشید.
تصدیق	7.8080	11	اموری در این ظهور ظاهر که از برای مظاهر علم و فضل و مشارق انصاف و عدل جز تصدیق مجالی نه.
تفعل	7.8080	11	تفعل ما تشآء بأمرک و تحکم ما ترید بسلطانک.
جهانبانی	7.8080	11	و آنچه سزاوار سدّهٔ ملوکانی و برازندهٔ دیهیم جهانبانی است آنست که جمیع رعایا از هر فرقه و آیین در ظلّ ظلیل معدلت سلطانی مظهر بخشایش و در کمال آسایش و کامرانی باشند.
حدد	7.8080	11	حدّد حضرة بهاءالله القبلة بعد صعوده المبارک بأنّها المکان الذی یستقرّ به عرشه الأطهر، أی الروضة المبارکة فی البهجة، بمرج عکّا
خرج	7.8080	11	هذه إشارة إلى میرزا یحیى، الملقّب بصبح أزل، وهو أخ لأب أصغر سنّاً من حضرة بهاءالله، وقد خرج على طاعته، وعارض دعوته
خزائن	7.8080	11	اسألک باسمک الّذی به ظهرت لآلئ الحکمة و البیان من خزائن افئدة المقرّبین من عبادک و اشرقت شمس اسمک الرّحمن علی من فی ارضک و سمائک بأن ترزقنی من بدایع نعمائک المکنونة بفضلک و عطائک.
شرع	7.8080	11	ذکر حضرة بهاءالله فی لوح الإشراقات شرّع حضرة المبشّر، روح ما سواه فداه، أحکاماً ولکنّه علّقها بقبول من یظهره الله
فارغ	7.8080	11	این مناجات را که از لسان مظلوم جاری شده قرائت نمائید و بقلب فارغ و سمع طاهر مقدّس در آن تفکّر فرمائید شاید نفحات انقطاع را بیابید و بر خود و عباد رحم کنید
فصلت	7.8080	11	فصّلت رسالة سؤال وجواب الإعفاء من الصوم والصلاة لضعف بسبب المرض أو کبر السّنّ
لأنه	7.8080	11	انت الأعظم من ان تدعی بالعظیم لأنّه اسم من اسمائک قد خلق بارادة من عندک.
محاربه	7.8080	11	در محاربهٔ واقعهٔ بین دولتین ملاحظه نمائید طرفین از مال و جان گذشتند.
ندا	7.8080	11	من یری له ضدّاً قد اقرّ لک بضد و من اعترف له ندّاً اعترف بندّ لک.
نفر	7.8080	11	مخصوص چند نفر معیّن نمودیم بر جمع آثار نقطه.
هزار	7.8080	11	هزار و دویست سنه یا قائم گفتند!
یمنعکم	7.8080	11	قال و قوله الاحلی ایّاکم ان یمنعکم البیان و حروفاته عن الرّحمن و سلطانه.
ینفعکم	7.8080	11	قل الدّنیا هی اعراضکم عن مطلع الوحی و اقبالکم الی ما لا ینفعکم.
اطاعت	7.8950	10	الی ان قال عزّ ذکره میفرماید اگر بظهور او فائز شدی و اطاعت نمودی ثمرهٔ بیان را ظاهر کردی والّا لائق ذکر نیستی نزد خداوند.
الارض	7.8950	10	فلمّا اتی المیقات و ظهر القضآء بعد القدر بالامضآء انطقته بثنائک و اسرارک بین ملأ الانشآء یا مالک الاسمآء و فاطر الارض و السّمآء.
الیقین	7.8950	10	ثمّ اشربهم راح رحمتک من راحة فضلک لیستریحوا بها فی انفسهم و یتوجّهوا من شمال الظّنون و الأوهام الی یمین الیقین و الاطمینان.
اموری	7.8950	10	ثمّ اسألک فی آخر عرضی بأنوار وجهک ان تصلح اموری و تقضی دینی و حوائجی.
بالحکمة	7.8950	10	و ایّدهم علی ذکرک و ثنائک و تبلیغ امرک بالحکمة و البیان.
بشأن	7.8950	10	ثبّت حضرة بهاءالله الحکم الوارد فی کتاب البیان العربیّ بشأن تجدید أسباب البیت کل تسع عشرة سنة، وقیّده بشرط الاستطاعة
بعدل	7.8950	10	استدعا آنکه در آنچه ظاهر شده تفکّر نمایند و بعدل و انصاف تکلّم فرمایند شاید تجلّیات انوار آفتاب صدق و صفا پرتو افکند و از تاریکی نادانی نجات بخشد و عالم را بنور دانائی روشن فرماید.
بیشتر	7.8950	10	هر که بیشتر کوشد بیشتر رود.
تحریر	7.8950	10	ظلم بمقامی رسیده که اقلام عالم از تحریر آن عاجز و قاصر است.
رتبهٴ	7.8950	10	یعنی آن ساحت مقدّس است از ماسوی و آنچه در رتبهٴ ممکن ذکر می‌شود.
زیر	7.8950	10	امر امر تو است و حکم آن تو و عالم قدرت زیر فرمان تو.
صدد	7.8950	10	ولکن کل برعکس بر اطفاء این نور ساطع لمیع جاهد و ساعی و هر نفسی در صدد آنست که تقصیری ثابت نماید و یا ایرادی وارد آورد.
قبله	7.8950	10	ان کان هذا جرمی قد سبقنی فی ذلک محمّد رسول الله و من قبله الرّوح و من قبله الکلیم.
لعمری	7.8950	10	لعمری!
متصور	7.8950	10	چگونه میشود که بعد او تشخّص و شعوری متصوّر شود با آنکه آلات بتمامها از هم پاشیده.انتهی
مدین	7.8950	10	لأنّ بالذّکر یثبت الوجود تلقآء مدین توحیدک.
مطابق	7.8950	10	و جناب دیّان علیه بهآء الله و رحمته بحضور فائز مطابق آنچه از قلم نقطهٔ اولی ظاهر شد.
نتایج	7.8950	10	و از نتایج و آثار آن موهبت عظمی در هر عصر و قرنی مرآت کائنات را بصور بدیعه و نقوش جدیده مرتسم و منطبع نمود.
نوع	7.8950	10	و امّا ما سألت بنی نوع انسانی بعد از موت ظاهری غیر از انبیا و اولیا آیا همین تعیّن و تشخّص و ادراک و شعوری که قبل از موت در او موجود است بعد از موت هم باقی است یا زائل میشود.
همایون	7.8950	10	وزیر کبیر نپذیرفت و به پیشگاه حضور عرض نمود که موکب همایون در شرف حرکت است و اشتغال باین گونه امور حال مورث فتور مملکت.
ورقآء	7.8950	10	اسألک باسمک الأعظم بأن تفتح ابصار عبادک لیروک مشرقاً عن افق عظمتک و کبریائک و لا یمنعهم نعیب الغراب عن هدیر ورقآء عزّ احدیّتک و لا مآء الآسن عن زلال خمر الطافک و کوثر مواهبک.
