rank	term	df	tf	example
18	احبتک	31	31	اسألک یا فاطر السّمآء و مالک الأسمآء بنفسک الأبهی و ذکرک العلیّ الأعلی ان تنزل علی احبّتک ما یقرّبهم الیک و یسمعهم آیاتک.
19	اقتدار	31	31	فها انا ذا یا الهی قد وقعت علی التّراب بین یدیک و اعترف بعجز نفسی و اقتدار نفسک و فقر ذاتی و غنآء ذاتک و فنآء روحی و بقآء روحک و منتهی ذلّی و منتهی عزّک.
20	البدیع	31	31	وضع حضرة الباب تقویماً جدیداً یُعرف الآن بالتقویم البدیع أو التقویم البهائی
21	المظلوم	31	31	و الآن یخاطبنی من اعلی المقام یا ایّها المسجون نفسی لسجنک الفدآء یا ایّها المظلوم ذاتی لبلائک الفدآء.
22	بأمرک	31	31	تفعل ما تشآء بأمرک و تحکم ما ترید بسلطانک.
23	بذکرک	31	31	اذاً یا الهی بهذا اللّسان الکلیل ادعوک و بهذا القلم العلیل اشتغل بذکرک.
24	تشبث	31	31	اسألک باسمک الّذی به ارفعت اعلام هدایتک و اشرقت انوار عنایتک و اظهرت سلطان ربوبیّتک و به ظهر مصباح اسمائک فی مشکاة صفاتک و به طلع هیکل التّوحید و مظهر التّجرید و به رفع مناهج الهدایة و ظهر سبل الارادة و به تزلزلت ارکان الضّلالة و انهدمت آثار الشّقاوة و به تفجّرت ینابیع الحکمة و تنزّلت مائدة السّمائیّة و به حفظت عبادک و نزّلت شفائک و به ظهرت مرحمتک علی عبادک و مغفرتک بین خلقک بأن تحفظ الّذی توسّل الیک و رجع علیک و تمسّک برحمتک و تشبّث بذیل عطوفتک.
25	توحید	31	31	لم تزل کنت فی علوّ وحدانیّتک مقدّساً عن توحید عبادک و لا تزال تکون فی سموّ فردانیّتک متعالیاً عن ذکر خلقک.
26	سراج	31	31	ووصف المشاورة بأنّها سراج الهدى الذی یرشدهم إلى السّبیل، ویمدّهم بالمعرفة
27	سلطنت	31	31	مع‌ذلک ما را اخذ نمودند و از نیاوران که در آن ایّام مقرّ سلطنت بوده سر برهنه و پای برهنه پیاده با زنجیر بسجن طهران بردند.
28	صفات	31	31	و مقصود از این لقا لقاء مشرق آیات و مطلع بیّنات و مظهر اسماء حسنی و مصدر صفات علیای حقّ جلّ جلاله است.
29	فاطر	31	31	لک الفضل یا اله الأسمآء و لک الثّنآء یا فاطر السّمآء
30	لئلا	31	31	ینبغی علیهم أن یأخذوا أقصى الحذر لئلاّ تکتسب أیّ طریقة یتّبعونها، طابعاً جامداً وتصبح طقساً، ورسماً ملزماً
31	لعل	31	31	ثمّ اشتعل فی قلوبهم مشاعل حبّک لیحترق بها کلّ الأذکار دون بدایع ذکرک و یمحو عن قلوبهم کلّ الآثار سوی جواهر آثار قدس سلطنتک حتّی لا یسمع فی الملک الّا نغمات عزّ رحمانیّتک و لا یشهد فی الأرض الّا سواذج انوار جمالک و لا یری فی نفس دون طراز جمالک و ظهور اجلالک لعلّ لا تشهد من عبادک الّا ما ترضی به نفسک و یحبّه سلطان مشیّتک.
32	الهوی	31	32	اسألک یا محبوب قلبی و المذکور فی صدری بأن تحفظ احبّائی من شائبة النّفس و الهوی.
33	فلک	31	32	فلک الحمد یا الهی بما وفّقتنا علی الاقرار به و التّصدیق بما نزّل علیه و شرّفتنا بلقآء من وعدتنا به فی کتبک و الواحک.
34	مینمودند	31	32	ناظر بایّام قبل شوید که چقدر مردم از اعالی و ادانی که همیشه منتظر ظهورات احدیّه در هیاکل قدسیّه بوده‌اند بقسمی که در جمیع اوقات و اوان مترصّد و منتظر بودند و دعاها و تضرّعها مینمودند که شاید نسیم رحمت الهیّه بوزیدن آید و جمال موعود از سرادق غیب بعرصه ظهور قدم گذارد
35	هیچ	31	32	و هر که را بیندازی از خاک پستتر بلکه هیچ از او بهتر.
36	یقدر	31	32	لو لم یکن البلایا حامل حکمتک و القضایا وعآء تدبیرک لن یقدر احد ان یعترض علینا ولو یجتمع اهل السّموات و الأرض.
37	اولئک	31	33	انّ الّذین هم سکروا من خمر معارفک اولئک یسرعون الی البلایا شوقاً للقائک.
38	قضی	31	33	کذلک قضی الأمر فی کتاب بدیع
39	لها	31	33	فقد شرح حضرة ولی أمرالله فی رسالة کُتبت بناءً على تعلیماته أنّ هذه مسألة على بیت العدل الأعظم أن یسنّ لها التّشریع اللازم، لأنّ الکتاب الأقدس لم یتعرّض لها
40	واحد	31	36	إن کان فقیراً یدفع مقدار واحد
41	افکار	32	32	و لم‌یزل و لایزال جمیع امم بهمین جعلیّات افکار نالایقه تمسّک جسته و از عیونهای لطیفهٔ رقیقهٔ جاریه خود را بی‌بهره و بی‌نصیب نمودند....
42	الذکر	32	32	الذّکر الذی أشار إلیه حضرة بهاءالله فی هذه الآیة المبارکة هو الثناء الوارد فی کتاب البیان العربیّ
43	الغافلین	32	32	اسألک بأسمائک الّتی لا تمنعها الأحزان عن الشّغف فی حبّک و النّظر الی وجهک و لا یمنعهم جنود الغافلین عن سبیل رضائک ان ترزقه خیر ما عندک و عرّجه الی مقام الّذی یری الدّنیا کظلّ یمرّ فی اقرب من لمح البصر.
44	القوم	32	32	یشهد بذلک ما ظهر من بحر بیانی بین العباد ولکنّ القوم اکثرهم فى بعد مبین.
45	تجلی	32	32	لانّ بسکونه علی امرک و استقراره علی ما اریته فی ریاض المکاشفة و الشّهود عند تجلّی انوار احدیّتک قد تحرّکت العباد شوقاً الی ملکوتک و سرع من فی البلاد مقبلاً الی جبروتک
46	جبروت	32	32	لا یمنعک عمّا اردته من فی ملکوت السّموات و الأرض و لا یعجزک من فی جبروت الأمر و الخلق.
47	حقایق	32	32	ای ربّ فانظر هذا الفقیر بلحظات اعین غنائک و نوّر قلبه بنور معرفتک لیعرف حقایق اللّاهوت و اسرار الجبروت و ظهورات الملکوت و شئونات النّاسوت تلقآء ظهور مظهر نفسک.
48	سرادق	32	32	اسألک یا مالک ممالک الانشآء و سلطان الأسمآء بأن تکتب اسمی من الّذین لم یزل طافوا حول سرادق مجدک و تشبّثوا بذیل عنایتک و تمسّکوا بحبل عطوفتک.
49	سواه	32	32	ذکر حضرة بهاءالله فی لوح الإشراقات شرّع حضرة المبشّر، روح ما سواه فداه، أحکاماً ولکنّه علّقها بقبول من یظهره الله
